mass	mf
158.02152	C6H6O5
158.03276	C5H6N2O4
158.03678	C10H6O2
158.04399	C4H6N4O3
158.05138	C6H10N2OS
158.05791	C7H10O4
158.06914	C6H10N2O3
158.07316	C11H10O
158.08439	C10H10N2
158.09429	C8H14O3
158.13067	C9H18O2
158.16706	C10H22O
159.0354	C6H9NO2S
159.05316	C6H9NO4
159.05449	C7H5N5
159.06841	C10H9NO
159.08954	C7H13NO3
159.10077	C6H13N3O2
159.10479	C11H13N
159.10667	C6H14BNO3
159.12592	C8H17NO2
159.17354	C8H21N3
159.99272	C6H5ClO3
160.01719	C6H5FO4
160.03717	C6H8O5
160.0484	C5H8N2O4
160.05243	C10H8O2
160.06366	C9H8N2O
160.07356	C7H12O4
160.07489	C8H8N4
160.08479	C6H12N2O3
160.09218	C8H16OS
160.10004	C10H12N2
160.10994	C8H16O3
160.12117	C7H16N2O2
160.9799	C6H5Cl2N
161.0066	C6H8ClNS
161.03242	C5H7NO5
161.04768	C9H7NO2
161.05105	C6H11NO2S
161.05891	C8H7N3O
161.0688	C6H11NO4
161.07014	C7H7N5
161.08406	C10H11NO
161.10519	C7H15NO3
161.12044	C11H15N
161.86387	CHBrCl2
161.8985	H3O3PSe
161.90421	C2HCl3O2
161.96392	C6H4Cl2O
162.00593	C4H6ClF3O
162.01644	C5H6O6
162.01731	C6H10OS2
162.02925	C7H5F3O
162.03169	C9H6O3
162.03506	C6H10O3S
162.04293	C8H6N2O2
162.04475	C7H11ClO2
162.0463	C5H10N2O2S
162.05282	C6H10O5
162.06405	C5H10N2O4
162.06808	C10H10O2
162.07145	C7H14O2S
162.07529	C4H10N4O3
162.07931	C9H10N2O
162.0892	C7H14O4
162.08961	C6H18OSi2
162.10044	C6H14N2O3
162.10446	C11H14O
162.11569	C10H14N2
162.97617	C4H5NO2S2
163.01255	C5H9NOS2
163.03031	C5H9NO3S
163.03818	C7H5N3O2
163.04807	C5H9NO5
163.04941	C6H5N5O
163.06333	C9H9NO2
163.0667	C6H13NO2S
163.08445	C6H13NO4
163.08579	C7H9N5
163.09971	C10H13NO
163.12084	C7H17NO3
163.13609	C11H17N
163.87541	C2Cl4
163.91986	C2H3Cl3O2
163.94729	C4H5BrO2
163.95778	C2H5NaO3S2
163.96073	C3H4Cl2F2O
164.02384	C5H9O4P
164.03209	C5H8O6
164.03342	C6H4N4O2
164.04734	C9H8O3
164.05857	C8H8N2O2
164.06195	C5H12N2O2S
164.06847	C6H12O5
164.08373	C10H12O2
164.09496	C9H12N2O
164.09833	C6H16N2OS
164.10485	C7H16O4
164.12011	C11H16O
165.0282	C5H11NOS2
165.04259	C8H7NO3
165.04596	C5H11NO3S
165.06506	C6H7N5O
165.07897	C9H11NO2
165.11536	C10H15NO
165.12659	C9H15N3
165.89106	C2H2Cl4
165.92655	C3H3BrO3
165.96294	C4H7BrO2
165.99359	C4H6O5S
166.02661	C8H6O4
166.03132	C6H6N4S
166.03784	C7H6N2O3
166.04374	C7H7BO4
166.04774	C5H10O6
166.04907	C6H6N4O2
166.05647	C8H10N2S
166.06299	C9H10O3
166.07588	C6H15O3P
166.07825	C13H10
166.08412	C6H14O5
166.09669	C6H10N6
166.09937	C10H14O2
166.11061	C9H14N2O
166.13576	C11H18O
166.98634	C7H5NS2
167.00747	C4H9NO2S2
167.02186	C7H5NO4
167.02523	C4H9NO4S
167.02657	C5H5N5S
167.03646	C3H9N3O3S
167.03899	C6H6BNO4
167.04048	C8H9NOS
167.04432	C5H5N5O2
167.05824	C8H9NO3
167.06947	C7H9N3O2
167.07113	C5H14NO3P
167.0735	C12H9N
167.08071	C6H9N5O
167.09462	C9H13NO2
167.10586	C8H13N3O
167.13101	C10H17NO
167.16739	C11H21N
167.97286	C3H4O6S
167.98238	C3H5O6P
167.98812	C7H4O3S
168.00098	C3H2F6O
168.00904	C7H5ClN2O
168.01711	C6H4N2O4
168.01876	C4H9O5P
168.02834	C5H4N4O3
168.03419	C9H9ClO
168.04226	C8H8O4
168.0434	C5H9FO5
168.05751	C12H8O
168.05865	C9H9FO2
168.06472	C6H8N4O2
168.06874	C11H8N2
168.07596	C5H8N6O
168.07864	C9H12O3
168.08987	C8H12N2O2
168.09727	C10H16S
168.11502	C10H16O2
168.15141	C11H20O
168.16264	C10H20N2
168.9642	C3H7NO2Se
168.97201	C2H8AsNO3
168.99306	C7H4ClNO2
169.00449	C3H7NO5S
169.01401	C3H8NO5P
169.01975	C7H7NO2S
169.02944	C8H8ClNO
169.03263	C4H12NO2PS
169.03751	C7H7NO4
169.05039	C4H12NO4P
169.07389	C8H11NO3
169.08512	C7H11N3O2
169.08914	C12H11N
169.11027	C9H15NO2
169.14666	C10H19NO
169.18304	C11H23N
169.93132	C2Cl2F4
169.95925	C3H7I
169.98851	C3H6O6S
169.99803	C3H7O6P
170.00376	C7H6O3S
170.01346	C8H7ClO2
170.015	C6H6N2O2S
170.01665	C4H11O3PS
170.02152	C7H6O5
170.03276	C6H6N2O4
170.04015	C8H10O2S
170.04399	C5H6N4O3
170.05138	C7H10N2OS
170.05791	C8H10O4
170.06914	C7H10N2O3
170.07316	C12H10O
170.08037	C6H10N4O2
170.09429	C9H14O3
170.10552	C8H14N2O2
170.13067	C10H18O2
170.14191	C9H18N2O
170.16706	C11H22O
170.20344	C12H26
170.96425	C7H3Cl2N
170.99327	C2H6NO6P
171.00238	C3H9NO3S2
171.02177	C5H11Cl2NO
171.02966	C3H10NO5P
171.0354	C7H9NO2S
171.05316	C7H9NO4
171.06439	C6H9N3O3
171.08954	C8H13NO3
171.10479	C12H13N
171.112	C6H13N5O
171.12592	C9H17NO2
171.16231	C10H21NO
171.17354	C9H21N3
171.19869	C11H25N
171.95237	C6H5BrO
171.9952	C5H2ClFN4
172.00079	C6H4O6
172.01367	C3H9O6P
172.01941	C7H8O3S
172.02325	C4H4N4O4
172.03065	C6H8N2O2S
172.03717	C7H8O5
172.04034	C7H9ClN2O
172.0484	C6H8N2O4
172.05243	C11H8O2
172.06366	C10H8N2O
172.07356	C8H12O4
172.08479	C7H12N2O3
172.10004	C11H12N2
172.10994	C9H16O3
172.1324	C7H16N4O
172.14364	C6H16N6
172.14632	C10H20O2
